apply_id,predict_label
50557025,0
49510913,1
50782824,1
51967846,0
51105993,1
52709949,0
49717847,1
51179153,0
50083070,1
51727931,1
52485462,0
52850085,0
49518154,0
51179177,1
53384328,1
50739920,0
51776180,1
50082344,0
51967447,0
50083181,1
49594012,0
51298926,0
52153933,1
52408983,1
51728068,1
51910056,0
49716929,1
52155641,0
49715004,1
51967100,1
50685964,0
49877081,0
50349000,1
51968443,0
52485408,0
50606108,1
51715904,1
50782218,0
53563012,1
51257946,0
49717433,0
51494359,0
50782497,0
51298311,0
49511429,1
52850024,1
52154158,0
49714911,0
49875190,1
52366058,1
52154955,0
50970578,0
50970111,0
51494124,1
49717358,0
51966994,0
50007152,1
49715309,0
52366000,0
50082991,1
50390411,0
50081916,0
50970257,1
51968106,0
49717028,1
49511233,0
52411016,1
53145813,0
50390913,1
53145137,0
50605947,0
49594201,1
49594483,0
51299021,0
53144578,1
51775014,1
51299325,0
49595184,0
52154992,0
50229370,0
49511376,0
49877204,0
50350080,0
52360905,1
52154014,1
53144185,1
52154665,0
51909069,1
52711342,1
51494715,0
53385355,0
51107194,0
49595323,1
50228905,0
49875280,1
49510936,0
51297905,1
50965612,0
49594026,0
49875330,0
53145208,0
52411107,0
49715556,0
49715196,1
53384336,1
50781345,0
50965588,0
49715861,0
51177910,0
51968576,1
51299015,1
53385499,1
49364759,0
49595549,0
50750992,0
50391708,0
52480525,1
50750916,0
53144468,1
50082909,0
49875174,1
51257964,1
49715110,0
53145705,0
50780951,0
52409109,1
49699913,1
52365908,0
50970051,0
51454950,0
49511092,0
50083057,1
52155135,1
50081915,0
50390920,1
52155487,0
50544940,0
51493556,0
49717083,0
51776326,0
50229380,0
51107067,0
53562994,1
52480724,1
51968404,1
52155088,1
52850656,0
50008189,0
50391072,1
49511349,0
49875425,1
52710192,1
49874965,0
51967375,1
52360933,0
49875422,1
51776264,0
52343916,0
50782472,0
50970121,0
49875034,1
53145838,1
51493039,1
53144999,1
51968619,0
49715799,0
50230123,0
52409065,0
49518234,0
52848973,0
49595482,0
49364702,1
50781349,0
52154943,0
51105914,0
52850457,1
51299365,1
52850615,1
51493765,1
50229341,1
50782334,0
53145078,1
49875400,1
50391184,0
53144320,0
49595056,0
52361048,0
50391790,0
50557059,0
49717650,0
51493835,0
49518312,1
50970040,0
49715405,1
52849720,1
52408987,0
52485699,0
49518088,0
51493172,0
51298098,0
50781210,1
53144723,1
52711167,0
51728041,0
49715717,0
49369885,1
51105925,1
50781283,1
51967623,0
49877028,0
52850599,1
50965557,1
50204905,0
53145757,1
49364802,0
49595257,0
50556947,0
50082923,0
53145012,0
50229180,0
52710277,0
50686072,0
50782677,0
50782615,0
52485227,0
52154468,0
52710038,1
49369585,0
53385429,1
51967668,0
53144768,1
53145307,0
51299462,1
49716991,0
50008053,1
50606264,0
51105910,1
50781133,1
50390455,0
53144252,0
50782203,1
53384024,0
49511128,1
51493478,1
51968783,0
49364524,0
49595016,1
51968552,0
50782619,1
53385163,0
51776071,1
49717446,1
51493491,0
50782232,0
50081945,0
51493953,0
52480504,1
50685977,0
52154759,0
49594903,0
50781784,0
49369627,0
49595189,1
49699911,0
53145171,1
52479929,0
50229387,1
49699926,0
49715222,0
50390321,0
49875013,1
50390756,0
49717056,1
49715841,1
49875344,0
53144545,1
51258931,0
52360995,1
51107145,0
50390843,1
51967351,1
51968108,1
50008135,1
52850658,1
51909909,1
50781218,1
51968811,1
50228926,0
51298154,0
52155273,0
50230279,0
49511253,1
49369800,0
49717540,0
51299338,1
50229288,0
49593918,0
52849562,0
50684922,0
52711123,1
51494831,1
50391623,0
51775128,0
52710212,0
52850826,0
50007128,0
49875233,0
51178989,0
49593940,1
52850328,0
52408977,0
53145416,0
53144948,1
51968678,0
50965465,0
49875325,0
50229954,0
53075087,0
49595320,0
53145076,0
49593930,0
53144794,0
49699903,0
52849251,0
49875355,1
51299363,0
50964933,0
53385238,1
53075055,0
50349078,0
50607087,1
51968330,0
50781259,0
50229185,1
50350077,0
51728027,1
50229161,1
49877214,1
51728024,1
51455902,1
49716978,1
53145298,1
52411048,0
52709978,1
51106055,0
52480308,1
49877557,1
49715236,1
52485364,1
49594328,1
51106936,0
51967801,0
50781343,1
51967097,1
52155364,0
53562059,0
51727079,0
51179139,0
52365924,0
52850824,0
49595330,0
51909048,1
51494223,0
50008067,0
49875020,1
52687950,0
49875208,1
52485691,0
50229956,0
50750982,1
49595067,1
52849367,0
49364680,1
52850051,1
51494347,1
50782114,0
50781410,1
49717228,0
49716920,0
52155871,0
51728138,0
53144230,0
52155134,1
51179015,0
49369851,0
50082194,0
53385352,1
52153973,0
52850098,0
51967250,0
49595435,1
49717377,0
52409119,0
53144438,1
52155418,1
52484926,1
51493104,0
49875296,0
49595068,0
52850700,0
49717596,1
52485414,0
50082357,0
50390192,1
50782406,0
53384318,0
53562921,0
50390940,0
49369805,1
51258966,0
52849007,1
49594369,0
53561914,1
51299404,1
50391178,0
49717651,0
52480397,1
51494118,0
50781950,0
53141902,0
50390581,0
53145438,0
50556929,0
50082414,1
53383948,1
50685987,1
50391088,0
51297944,0
50781748,1
50391743,0
52480667,0
52686960,0
52850109,1
49877093,0
51455970,1
52849919,1
51493639,0
50685105,0
52485169,0
49364846,0
52848981,0
49595343,0
53385495,0
53090956,0
49877254,0
50970446,0
52155822,1
51727088,0
50390599,1
53143961,0
50229101,0
49517933,0
52154402,0
52154590,0
51494029,0
50606099,0
52849569,0
49877219,1
50782633,1
49518169,0
51298151,0
53385228,0
51493214,1
49510967,0
52153934,1
50229346,0
49715465,1
52849905,1
50082499,0
49877076,0
52480422,0
53145540,0
52849947,0
50684923,0
49369552,0
51178194,1
50605938,1
51686973,0
49699918,0
50606010,1
50082210,0
52485525,0
50082338,0
50008006,1
52480380,1
49717213,0
50071901,0
51493715,0
49698912,0
51727995,0
49594103,1
52850031,1
51298415,0
49698922,0
50349908,0
52711113,0
50781299,0
50606270,1
52408985,0
50228958,0
51967082,0
49715649,1
52154541,0
51968326,0
50230167,1
52480430,1
49714985,0
53384298,0
52485479,0
51494611,0
51298099,1
51727003,0
51967678,1
50391309,1
50390497,0
